created_at,tweet_id,Location,tweet_text,screen_name,name,account_creation_date,urls,Likes,Retweet
2021-03-09 10:13:01,1369229731162374165,Somewhere,"RT @solefed: Ad: Tomorrow at 7am PT/10am ET - Nike Dunk High 'All-Star'

FNL https://t.co/bUHdSq9kdk
KFL https://t.co/1rWoWH3W3t
NKE https:…",jyyz2416,Jyyz2416 R.I.P. KOBE & GIGI🙇🏾‍♂️👼🏾😭,Thu May 17 00:11:00 +0000 2018,"[{'url': 'https://t.co/bUHdSq9kdk', 'expanded_url': 'https://bit.ly/38lV4Q5', 'display_url': 'bit.ly/38lV4Q5', 'indices': [77, 100]}, {'url': 'https://t.co/1rWoWH3W3t', 'expanded_url': 'https://bit.ly/39c68Pb', 'display_url': 'bit.ly/39c68Pb', 'indices': [105, 128]}]",0,8
2021-03-09 10:12:59,1369229720831754240,,"Did BAEKHO eat??? 🥺

@Nike endorsement pls! 

#BAEKHO #백호 #NUEST #뉴이스트 https://t.co/VNgx0Wzenl",SGmummy1010,SGmummy1010🐯🤍백호 ^^;,Thu Jul 20 08:04:31 +0000 2017,[],21,8
2021-03-09 10:12:46,1369229668163981312,Somewhere,RT @SnkrD2: Nike finally doing right by me https://t.co/s1dCWRht14,jyyz2416,Jyyz2416 R.I.P. KOBE & GIGI🙇🏾‍♂️👼🏾😭,Thu May 17 00:11:00 +0000 2018,[],0,1
2021-03-09 10:12:44,1369229658588393475,"Carrington, Manchester M31 4BH",Nike... https://t.co/XFaoPFeoYh,IRONMANRIP,🔮 Yung Mula,Sat Feb 10 16:26:38 +0000 2018,"[{'url': 'https://t.co/XFaoPFeoYh', 'expanded_url': 'https://twitter.com/jamesbenge/status/1369211359435530242', 'display_url': 'twitter.com/jamesbenge/sta…', 'indices': [8, 31]}]",0,0
2021-03-09 10:12:35,1369229621976240129,"Rio de Janeiro, Brasil",RT @bestoffnike: Nike Air VaporMax 2019 SE https://t.co/wNDl2mhP46,RAQUELZINHA1011,Sra.souza🥶,Wed Jul 03 19:35:14 +0000 2019,[],0,320
2021-03-09 10:12:33,1369229613663219718,"London, England",NB kmt you was destined for Nike https://t.co/5mNCEIdwdQ,nakuja187,🐐,Sat Sep 05 16:39:49 +0000 2015,"[{'url': 'https://t.co/5mNCEIdwdQ', 'expanded_url': 'https://twitter.com/bukayosaka87/status/1369221288645042178', 'display_url': 'twitter.com/bukayosaka87/s…', 'indices': [33, 56]}]",0,0
2021-03-09 10:12:09,1369229511477301249,"Accra, Ghana","RT @thrillsboi: Nike Air Force 1

Price 25k

Kindly retweet 🙏 https://t.co/ShTGutDQiy",NanaYawTyson,Chito Lou,Tue Apr 25 19:52:09 +0000 2017,[],0,67
2021-03-09 10:12:05,1369229497543794688,,"Free:
- Ban luar kenda flame uk 26x2,125
- Ban dalam kenda 26
- Rims copotan pacific 24 hole
- Hub joytech 24 hole… https://t.co/ZppKZAMVoO",udaka19,kemanggisan ilir,Fri Aug 21 15:25:32 +0000 2015,"[{'url': 'https://t.co/ZppKZAMVoO', 'expanded_url': 'https://twitter.com/i/web/status/1369229497543794688', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",0,0
2021-03-09 10:12:04,1369229489897566208,SNSD and blackpink heart ,"RT @bobohuri: the last time we heard jiyong's voice was during nike interview last year and now we able to hear it again, pls don't touch m…",kekang35,지연. 🐉 RS1 & LS1 & GD CB or BB CB & SNSD CB Please,Fri Dec 06 06:14:39 +0000 2019,[],0,34
2021-03-09 10:12:03,1369229489260007426,Sa puso ni Jiyong,"RT @bobohuri: the last time we heard jiyong's voice was during nike interview last year and now we able to hear it again, pls don't touch m…",deeuntitled88,𝚍𝚊𝚛𝚒,Thu Nov 05 06:21:51 +0000 2020,[],0,34
