Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,198.77999877929688,199.99000549316406,197.6199951171875,198.4199981689453,181.38209533691406,4371510
2010-01-05,199.60000610351562,204.0,199.13999938964844,202.55999755859375,185.16661071777344,7629380
2010-01-06,204.0,205.74000549316406,198.50999450683594,199.16000366210938,182.05857849121094,5953585
2010-01-07,199.2899932861328,201.1999969482422,197.82000732421875,200.57000732421875,183.3474884033203,4964525
2010-01-08,200.60000610351562,203.97999572753906,199.27000427246094,203.19000244140625,185.7425079345703,7931425
2010-01-11,203.8000030517578,210.60000610351562,203.02000427246094,209.8800048828125,191.85806274414062,10096505
2010-01-12,209.60000610351562,215.0,206.1999969482422,209.86000061035156,191.8397979736328,14351905
2010-01-13,208.3000030517578,209.77000427246094,205.30999755859375,208.05999755859375,190.1943359375,10503700
2010-01-14,208.9600067138672,215.8000030517578,208.3800048828125,213.22000122070312,194.91127014160156,10746410
2010-01-15,216.0,218.67999267578125,213.0399932861328,215.55999755859375,197.05032348632812,16362695
2010-01-18,214.0,222.60000610351562,212.13999938964844,221.52999877929688,202.50770568847656,10033600
2010-01-19,235.5399932861328,235.5399932861328,218.6199951171875,221.14999389648438,202.16033935546875,8069485
2010-01-20,221.39999389648438,223.77000427246094,216.0399932861328,216.75,198.13815307617188,6584845
2010-01-21,217.0,218.1999969482422,210.0,212.25,194.02456665039062,7313095
2010-01-22,209.0,211.5800018310547,205.0,206.3300018310547,188.61289978027344,7275735
2010-01-25,205.1999969482422,205.92999267578125,201.02999877929688,203.74000549316406,186.2453155517578,5243060
2010-01-27,200.6199951171875,201.92999267578125,193.02999877929688,194.5500030517578,177.8444366455078,12127575
2010-01-28,195.60000610351562,206.0,195.60000610351562,203.75999450683594,186.26356506347656,14347760
2010-01-29,201.99000549316406,209.0,197.63999938964844,205.13999938964844,187.5250701904297,15392485
2010-02-01,205.1999969482422,214.39999389648438,201.0,212.50999450683594,194.26220703125,10680450
2010-02-02,213.0399932861328,216.39999389648438,206.0500030517578,207.4600067138672,189.6458740234375,8883385
2010-02-03,209.11000061035156,215.39999389648438,204.80999755859375,214.1999969482422,195.80711364746094,13260715
2010-02-04,211.97999572753906,213.7899932861328,209.0,209.69000244140625,191.6843719482422,6585835
2010-02-05,206.74000549316406,207.60000610351562,199.02000427246094,205.13999938964844,187.5250701904297,12212410
2010-02-08,205.0,208.33999633789062,200.1999969482422,204.5399932861328,186.97657775878906,7426465
2010-02-09,205.0,211.39999389648438,202.63999938964844,207.7100067138672,189.87440490722656,9225825
2010-02-10,208.8000030517578,209.10000610351562,204.02000427246094,204.92999267578125,187.33309936523438,8286355
2010-02-11,206.0,208.97999572753906,205.67999267578125,206.63999938964844,188.8962860107422,4078795
2010-02-15,206.60000610351562,208.89999389648438,202.0,205.77000427246094,188.10098266601562,4549330
2010-02-16,206.39999389648438,208.33999633789062,203.6699981689453,205.22999572753906,187.60736083984375,6636255
2010-02-17,206.8000030517578,214.77000427246094,206.39999389648438,213.4600067138672,195.13064575195312,11366410
2010-02-18,213.39999389648438,223.25999450683594,213.11000061035156,219.6999969482422,200.83480834960938,24856930
2010-02-19,214.39999389648438,220.4499969482422,214.1999969482422,218.89999389648438,200.10354614257812,13856280
2010-02-22,220.6999969482422,223.0,216.25,221.49000549316406,202.4711456298828,8715490
2010-02-23,220.0,225.9600067138672,217.74000549316406,219.6300048828125,200.7708740234375,11249705
2010-02-24,219.0,222.19000244140625,213.00999450683594,218.75999450683594,199.97555541992188,8601590
2010-02-25,219.22000122070312,220.58999633789062,216.30999755859375,219.25,200.4235076904297,7738815
2010-02-26,220.8000030517578,227.39999389648438,217.0,224.89999389648438,205.5883026123047,8116780
